Date,Day,Direction,MBIKE,CAR,LGV,BUS,HGV_RIG,HGV_ART,CARAVAN,TOTAL_HGV,TOTAL_ALL
Wednesday 1 January 2020,Wednesday,S,75,20027,1067,57,36,31,11,67,21304
Wednesday 1 January 2020,Wednesday,N,73,20893,1113,59,41,34,16,75,22229
Thursday 2 January 2020,Thursday,S,84,26116,2457,122,359,355,38,714,29531
Thursday 2 January 2020,Thursday,N,99,26681,2788,125,353,373,54,726,30473
Friday 3 January 2020,Friday,S,123,29580,2809,161,450,461,87,911,33671
Friday 3 January 2020,Friday,N,112,28916,2919,150,461,443,75,904,33076
Saturday 4 January 2020,Saturday,S,85,26797,1906,92,143,170,42,313,29235
Saturday 4 January 2020,Saturday,N,64,26673,1888,93,160,159,49,319,29086
Sunday 5 January 2020,Sunday,S,113,23723,1454,86,55,86,37,141,25554
Sunday 5 January 2020,Sunday,N,111,25247,1470,76,71,93,36,164,27104
Monday 6 January 2020,Monday,S,87,26864,3321,183,667,556,77,1223,31755
Monday 6 January 2020,Monday,N,84,27924,3486,165,652,566,86,1218,32963
Tuesday 7 January 2020,Tuesday,S,101,28137,3556,167,666,591,85,1257,33303
Tuesday 7 January 2020,Tuesday,N,95,28881,3826,170,690,586,84,1276,34332
Wednesday 8 January 2020,Wednesday,S,115,29193,3691,187,685,587,119,1272,34577
Wednesday 8 January 2020,Wednesday,N,130,29507,4010,184,756,635,110,1391,35332
Thursday 9 January 2020,Thursday,S,109,29728,3761,185,763,631,90,1394,35267
Thursday 9 January 2020,Thursday,N,113,29843,3973,185,812,665,110,1477,35701
Friday 10 January 2020,Friday,S,124,30655,3752,171,691,605,119,1296,36117
Friday 10 January 2020,Friday,N,120,30726,4071,188,730,664,120,1394,36619
Saturday 11 January 2020,Saturday,S,51,26591,2047,106,191,212,58,403,29256
Saturday 11 January 2020,Saturday,N,56,25614,2128,99,188,180,60,368,28325
Sunday 12 January 2020,Sunday,S,117,27354,1543,101,78,79,53,157,29325
Sunday 12 January 2020,Sunday,N,111,27684,1567,91,82,99,70,181,29704
Monday 13 January 2020,Monday,S,83,26189,3397,160,627,592,71,1219,31119
Monday 13 January 2020,Monday,N,70,27129,3696,160,677,625,71,1302,32428
Tuesday 14 January 2020,Tuesday,S,94,29305,3736,181,751,671,100,1422,34838
Tuesday 14 January 2020,Tuesday,N,94,29867,4058,182,792,637,112,1429,35742
Wednesday 15 January 2020,Wednesday,S,105,30680,3881,181,741,665,128,1406,36381
Wednesday 15 January 2020,Wednesday,N,118,31282,4115,179,739,706,117,1445,37256
Thursday 16 January 2020,Thursday,S,130,29681,3747,189,760,628,96,1388,35231
Thursday 16 January 2020,Thursday,N,96,30137,4026,189,749,679,106,1428,35982
Friday 17 January 2020,Friday,S,124,31946,3776,206,771,598,129,1369,37550
Friday 17 January 2020,Friday,N,117,30985,4198,192,746,647,134,1393,37019
Saturday 18 January 2020,Saturday,S,72,29565,2330,111,234,206,90,440,32608
Saturday 18 January 2020,Saturday,N,68,27813,2453,104,245,204,88,449,30975
Sunday 19 January 2020,Sunday,S,106,26665,1515,101,98,78,47,176,28610
Sunday 19 January 2020,Sunday,N,84,27429,1851,94,112,105,52,217,29727
Monday 20 January 2020,Monday,S,108,28660,3660,177,737,677,134,1414,34153
Monday 20 January 2020,Monday,N,109,29279,4151,169,830,733,103,1563,35374
Tuesday 21 January 2020,Tuesday,S,95,29391,3791,200,831,712,148,1543,35168
Tuesday 21 January 2020,Tuesday,N,92,29924,3966,187,852,696,140,1548,35857
Wednesday 22 January 2020,Wednesday,S,134,30785,3881,189,838,657,147,1495,36631
Wednesday 22 January 2020,Wednesday,N,101,31125,3974,179,825,676,120,1501,37000
Thursday 23 January 2020,Thursday,S,93,29867,3831,193,844,671,147,1515,35646
Thursday 23 January 2020,Thursday,N,113,31120,4134,191,841,710,136,1551,37245
Friday 24 January 2020,Friday,S,113,31764,3774,188,805,646,158,1451,37448
Friday 24 January 2020,Friday,N,123,31233,4081,191,867,696,134,1563,37325
Saturday 25 January 2020,Saturday,S,103,30796,2421,137,220,230,91,450,33998
Saturday 25 January 2020,Saturday,N,81,28954,2396,125,222,220,93,442,32091
Sunday 26 January 2020,Sunday,S,86,26664,1608,100,104,81,56,185,28699
Sunday 26 January 2020,Sunday,N,94,27908,1715,98,89,97,53,186,30054
Monday 27 January 2020,Monday,S,98,29222,3794,181,728,711,140,1439,34874
Monday 27 January 2020,Monday,N,83,30328,4020,189,741,729,133,1470,36223
Tuesday 28 January 2020,Tuesday,S,98,30053,3820,193,825,693,155,1518,35837
Tuesday 28 January 2020,Tuesday,N,104,30298,4134,177,842,714,144,1556,36413
Wednesday 29 January 2020,Wednesday,S,113,30509,3879,200,741,696,127,1437,36265
Wednesday 29 January 2020,Wednesday,N,104,31295,4235,189,769,670,122,1439,37384
Thursday 30 January 2020,Thursday,S,113,30793,3755,186,852,658,128,1510,36485
Thursday 30 January 2020,Thursday,N,108,31746,4262,191,852,691,109,1543,37959
Friday 31 January 2020,Friday,S,102,32753,3817,193,735,629,122,1364,38351
Friday 31 January 2020,Friday,N,139,31241,3950,208,737,663,113,1400,37051
Saturday 1 February 2020,Saturday,S,77,28816,2375,127,201,210,81,411,31887
Saturday 1 February 2020,Saturday,N,71,27251,2326,129,222,228,76,450,30303
Sunday 2 February 2020,Sunday,S,94,27455,1571,121,115,96,59,211,29511
Sunday 2 February 2020,Sunday,N,103,28366,1696,111,96,108,59,204,30539
Monday 3 February 2020,Monday,S,109,29135,3690,198,711,659,107,1370,34609
Monday 3 February 2020,Monday,N,113,30597,4084,173,735,679,110,1414,36491
Tuesday 4 February 2020,Tuesday,S,114,30138,3855,206,773,734,125,1507,35945
Tuesday 4 February 2020,Tuesday,N,115,30850,4143,193,790,729,117,1519,36937
Wednesday 5 February 2020,Wednesday,S,112,30941,3925,186,834,680,142,1514,36820
Wednesday 5 February 2020,Wednesday,N,127,31260,4356,182,829,692,139,1521,37585
Thursday 6 February 2020,Thursday,S,110,31427,3888,196,822,682,141,1504,37266
Thursday 6 February 2020,Thursday,N,145,31668,4267,209,859,728,132,1587,38008
Friday 7 February 2020,Friday,S,91,31557,3878,217,776,652,133,1428,37304
Friday 7 February 2020,Friday,N,106,31038,4187,228,809,695,121,1504,37184
Saturday 8 February 2020,Saturday,S,54,27800,2227,118,230,193,69,423,30691
Saturday 8 February 2020,Saturday,N,64,27059,2312,134,232,223,85,455,30109
Sunday 9 February 2020,Sunday,S,44,19297,1252,94,74,70,24,144,20855
Sunday 9 February 2020,Sunday,N,35,21000,1399,85,78,87,26,165,22710
Monday 10 February 2020,Monday,S,61,28479,3609,181,679,607,108,1286,33724
Monday 10 February 2020,Monday,N,67,29761,4003,173,707,629,98,1336,35438
Tuesday 11 February 2020,Tuesday,S,74,28023,3598,170,741,643,124,1384,33373
Tuesday 11 February 2020,Tuesday,N,64,29152,3982,165,763,633,119,1396,34878
Wednesday 12 February 2020,Wednesday,S,81,30726,3939,186,828,606,137,1434,36503
Wednesday 12 February 2020,Wednesday,N,87,31479,4182,174,833,655,126,1488,37536
Thursday 13 February 2020,Thursday,S,104,31116,3985,209,812,692,136,1504,37054
Thursday 13 February 2020,Thursday,N,102,31800,4384,193,807,757,132,1564,38175
Friday 14 February 2020,Friday,S,90,31373,3850,173,705,656,127,1361,36974
Friday 14 February 2020,Friday,N,109,31358,4167,187,735,706,128,1441,37390
Saturday 15 February 2020,Saturday,S,39,24055,2035,104,232,175,57,407,26697
Saturday 15 February 2020,Saturday,N,33,23458,2154,102,226,188,56,414,26217
Sunday 16 February 2020,Sunday,S,67,24064,1502,109,75,86,39,161,25942
Sunday 16 February 2020,Sunday,N,61,25198,1574,101,65,111,37,176,27147
Monday 17 February 2020,Monday,S,86,28967,3617,184,722,685,136,1407,34397
Monday 17 February 2020,Monday,N,106,29867,3969,175,751,662,145,1413,35675
Tuesday 18 February 2020,Tuesday,S,90,29850,3793,190,802,648,149,1450,35522
Tuesday 18 February 2020,Tuesday,N,108,30444,4153,173,800,661,155,1461,36494
Wednesday 19 February 2020,Wednesday,S,93,29941,3806,198,785,653,141,1438,35617
Wednesday 19 February 2020,Wednesday,N,102,30937,4217,188,750,685,133,1435,37012
Thursday 20 February 2020,Thursday,S,86,29614,3676,180,777,672,159,1449,35164
Thursday 20 February 2020,Thursday,N,89,31612,4270,192,824,699,162,1523,37848
Friday 21 February 2020,Friday,S,94,31097,3826,185,716,624,130,1340,36672
Friday 21 February 2020,Friday,N,99,30615,4233,170,723,668,116,1391,36624
Saturday 22 February 2020,Saturday,S,81,28666,2429,141,243,187,98,430,31845
Saturday 22 February 2020,Saturday,N,76,27744,2382,123,229,183,110,412,30847
Sunday 23 February 2020,Sunday,S,86,24834,1577,116,115,87,42,202,26857
Sunday 23 February 2020,Sunday,N,95,26364,1695,102,91,97,44,188,28488
Monday 24 February 2020,Monday,S,85,28511,3673,170,762,708,144,1470,34053
Monday 24 February 2020,Monday,N,94,29609,3851,190,779,684,109,1463,35316
Tuesday 25 February 2020,Tuesday,S,86,28167,3661,202,744,751,151,1495,33762
Tuesday 25 February 2020,Tuesday,N,89,30600,4168,190,805,733,119,1538,36704
Wednesday 26 February 2020,Wednesday,S,94,30628,3978,201,830,681,162,1511,36574
Wednesday 26 February 2020,Wednesday,N,91,31988,4323,270,834,717,131,1551,38354
Thursday 27 February 2020,Thursday,S,117,31010,3856,200,817,763,167,1580,36930
Thursday 27 February 2020,Thursday,N,112,31793,4307,187,833,762,140,1595,38134
Friday 28 February 2020,Friday,S,87,32025,3936,198,788,689,144,1477,37867
Friday 28 February 2020,Friday,N,84,31251,4198,217,770,782,127,1552,37429
Saturday 29 February 2020,Saturday,S,56,26221,2190,124,213,175,71,388,29050
Saturday 29 February 2020,Saturday,N,52,25075,2333,104,210,205,63,415,28042
Sunday 1 March 2020,Sunday,S,105,25839,1573,116,95,83,57,178,27868
Sunday 1 March 2020,Sunday,N,94,27117,1715,99,90,92,61,182,29268
Monday 2 March 2020,Monday,S,107,29001,3750,186,787,671,137,1458,34639
Monday 2 March 2020,Monday,N,98,30755,4091,195,765,674,147,1439,36725
Tuesday 3 March 2020,Tuesday,S,106,29980,3861,211,892,743,142,1635,35935
Tuesday 3 March 2020,Tuesday,N,120,30866,4100,207,884,750,130,1634,37057
Wednesday 4 March 2020,Wednesday,S,123,30913,3838,216,855,767,157,1622,36869
Wednesday 4 March 2020,Wednesday,N,127,31239,4244,196,875,777,137,1652,37595
Thursday 5 March 2020,Thursday,S,126,31581,3935,204,842,772,171,1614,37631
Thursday 5 March 2020,Thursday,N,125,32103,4246,221,831,796,166,1627,38488
Friday 6 March 2020,Friday,S,103,32101,3824,235,811,698,174,1509,37946
Friday 6 March 2020,Friday,N,99,31512,4242,218,817,728,148,1545,37764
